month,day,temp,RH,area
jul,tue,18.0,42,0.36
sep,tue,21.7,38,0.43
sep,mon,21.9,39,0.47
aug,wed,23.3,31,0.55
aug,fri,21.2,51,0.61
jul,sat,16.6,53,0.71
aug,wed,23.8,32,0.77
aug,thu,27.4,22,0.9
mar,mon,13.2,40,0.95
sep,tue,24.2,28,0.96
aug,tue,17.4,43,1.07
sep,thu,23.7,25,1.12
jun,fri,23.2,39,1.19
jul,sun,24.8,29,1.36
jul,sat,24.6,43,1.43
sep,fri,20.1,47,1.46
sep,sat,29.6,27,1.46
aug,sun,16.4,47,1.56
sep,sat,28.6,27,1.61
aug,wed,18.4,45,1.63
aug,wed,20.5,35,1.64
sep,fri,19.0,34,1.69
mar,mon,16.1,29,1.75
aug,thu,20.3,41,1.9
mar,sat,15.2,31,1.94
sep,sat,17.8,56,1.95
sep,sun,17.8,67,2.01
mar,thu,5.3,70,2.14
aug,wed,16.6,47,2.29
aug,wed,23.4,33,2.51
mar,fri,14.6,26,2.53
aug,thu,20.7,45,2.55
sep,wed,21.9,35,2.57
aug,wed,17.4,50,2.69
aug,sun,20.1,39,2.74
sep,mon,17.7,39,3.07
aug,sat,14.2,53,3.5
aug,sat,20.3,39,4.53
apr,thu,5.8,54,4.61
aug,sun,19.2,44,4.69
sep,wed,18.3,45,4.88
aug,tue,14.4,66,5.23
sep,sun,23.9,32,5.33
oct,mon,19.1,32,5.44
feb,sun,12.4,53,6.38
oct,mon,16.8,45,6.83
aug,fri,20.8,34,6.96
sep,tue,17.6,46,7.04
mar,sun,11.5,39,7.19
sep,mon,21.0,42,7.3
mar,sat,13.3,42,7.4
mar,sun,11.5,60,8.24
mar,fri,11.7,33,8.31
aug,thu,24.2,28,8.68
aug,tue,24.6,22,8.71
sep,wed,24.3,25,9.41
aug,tue,24.6,22,10.01
aug,fri,23.5,36,10.02
apr,thu,5.8,54,10.93
sep,thu,21.5,15,11.06
sep,tue,13.9,59,11.24
sep,mon,22.6,38,11.32
sep,tue,21.6,33,11.53
mar,sun,12.4,54,12.1
feb,sun,8.8,68,13.05
oct,wed,20.2,37,13.7
mar,sat,15.1,64,13.99
sep,thu,22.1,34,14.57
aug,sat,22.9,31,15.45
sep,tue,20.7,37,17.2
sep,fri,19.6,33,19.23
sep,thu,23.2,26,23.41
oct,sat,18.4,25,24.23
aug,sat,5.1,96,26.0
sep,fri,20.1,47,26.13
mar,mon,11.0,46,27.35
mar,sat,17.0,27,28.66
mar,sat,17.0,27,28.66
sep,sun,16.9,60,29.48
sep,mon,12.4,73,30.32
sep,wed,19.4,19,31.72
mar,mon,15.2,27,31.86
aug,sun,16.2,59,32.07
sep,fri,18.6,49,35.88
mar,mon,11.0,46,36.85
jul,fri,13.4,79,37.02
sep,wed,15.4,57,37.71
sep,sun,22.9,39,48.55
oct,mon,16.1,44,49.37
aug,sat,20.1,34,58.3
sep,sun,28.3,26,64.1
aug,sat,16.4,43,71.3
sep,wed,26.4,21,88.49
sep,sun,27.8,27,95.18
sep,tue,18.7,43,103.39
sep,tue,24.3,36,105.66
sep,sat,17.7,25,154.88
aug,sun,19.6,41,196.48
sep,sat,18.2,46,200.94
sep,tue,18.8,40,212.88
sep,sat,25.1,27,1090.84
aug,sun,15.4,66,10.13
aug,sun,22.4,54,2.87
aug,sun,26.8,38,0.76
aug,sun,25.7,39,0.09
aug,wed,20.7,70,0.75
aug,wed,21.7,40,2.47
aug,wed,26.8,25,0.68
aug,wed,24.0,36,0.24
aug,wed,22.1,37,0.21
aug,thu,21.4,38,1.52
aug,thu,18.9,41,10.34
aug,sat,23.9,41,8.02
aug,sat,21.4,44,0.68
aug,sat,23.7,40,1.38
aug,mon,28.3,32,8.85
aug,fri,11.2,84,3.3
aug,fri,21.4,42,4.25
aug,fri,19.3,39,1.56
aug,fri,21.8,53,6.54
aug,tue,22.1,54,0.79
aug,tue,19.4,55,0.17
aug,tue,19.1,53,4.4
aug,tue,21.8,56,0.52
aug,tue,20.1,58,9.27
aug,tue,20.2,47,3.09
dec,sun,4.8,57,8.98
dec,wed,5.1,61,11.19
dec,thu,5.1,61,5.38
dec,mon,4.6,21,17.85
dec,mon,4.6,21,10.73
dec,mon,4.6,21,22.03
dec,mon,4.6,21,9.77
dec,fri,2.2,59,9.27
dec,tue,5.1,24,24.77
feb,wed,8.8,35,1.1
feb,fri,7.5,46,24.24
jul,sat,25.3,39,8.0
jul,fri,22.9,40,2.64
jul,tue,26.9,28,86.45
jul,tue,17.1,67,6.57
jun,sun,14.3,46,0.9
jun,mon,19.1,39,3.52
sep,sun,17.1,53,0.41
sep,sun,23.8,35,5.18
sep,sun,24.8,28,14.29
sep,wed,19.7,41,1.58
sep,thu,19.2,24,3.78
sep,thu,21.6,28,4.41
sep,thu,18.9,34,34.36
sep,thu,16.8,28,7.21
sep,thu,16.8,28,1.01
sep,thu,12.9,39,2.18
sep,thu,13.7,56,4.42
sep,sat,23.5,27,3.33
sep,sat,24.2,27,6.58
sep,sat,21.5,28,15.64
sep,sat,17.1,41,11.22
sep,mon,18.1,54,2.13
sep,mon,23.0,34,56.04
sep,mon,22.7,35,7.48
sep,mon,20.4,41,1.47
sep,mon,19.3,44,3.93
sep,mon,15.9,51,2.18
sep,mon,12.2,66,6.1
sep,mon,16.8,43,5.83
sep,mon,21.3,35,28.19
sep,fri,12.8,64,1.64
sep,fri,10.1,75,3.71
sep,fri,15.4,53,7.31
sep,fri,20.6,43,2.03
sep,fri,19.8,47,1.72
sep,fri,18.7,50,5.97
sep,fri,20.8,35,13.06
sep,fri,20.8,35,1.26
sep,fri,21.1,39,8.12
sep,fri,18.4,42,1.09
sep,fri,17.3,45,3.94
sep,fri,15.2,64,0.52
sep,tue,15.9,53,2.93
sep,tue,21.1,35,5.65
sep,tue,19.6,45,20.03
sep,tue,15.9,38,1.75
sep,sat,16.8,47,12.64
sep,sun,13.8,77,11.06
sep,fri,10.3,78,18.3
sep,sat,15.4,57,39.35
aug,sat,21.9,42,174.63
jul,wed,19.3,39,7.73
aug,thu,16.2,63,16.33
aug,wed,28.2,29,5.86
aug,thu,20.5,58,42.87
aug,sat,21.3,44,12.18
aug,sun,20.9,50,16.0
sep,sun,20.6,55,24.59
aug,fri,23.3,34,28.74
feb,mon,7.5,71,9.96
sep,fri,20.7,46,30.18
sep,sun,21.9,43,70.76
feb,sun,10.1,62,51.78
sep,sun,20.4,55,3.64
aug,sun,24.3,33,3.63
jun,wed,28.0,34,8.16
sep,thu,22.8,46,4.95
sep,wed,21.8,34,6.04
sep,sat,17.0,67,3.95
sep,fri,19.9,44,7.8
feb,fri,8.2,53,4.62
jul,mon,22.8,27,1.63
aug,thu,27.5,27,746.28
jul,tue,26.3,39,7.02
aug,sun,24.9,42,2.44
aug,sun,24.8,36,3.05
aug,wed,26.2,36,185.76
jul,sun,29.3,27,6.3
sep,sat,22.3,48,0.72
aug,sat,26.9,31,4.96
aug,mon,27.9,33,2.35
aug,sun,24.6,44,3.2
aug,sat,23.3,40,6.36
aug,sun,20.9,66,15.34
aug,mon,26.8,35,0.54
aug,sat,23.6,53,6.43
sep,fri,19.1,46,0.33
aug,mon,25.5,29,1.23
apr,mon,10.9,64,3.35
sep,fri,16.2,58,9.96
aug,wed,23.4,49,6.43
aug,fri,11.8,88,9.71
aug,wed,19.9,50,82.75
aug,sat,18.9,64,3.32
aug,sat,15.5,72,1.94
sep,sun,14.5,76,3.71
feb,tue,4.6,82,5.39
feb,tue,5.1,77,2.14
feb,sat,4.6,59,6.84
mar,mon,10.2,45,3.18
mar,wed,11.2,41,5.55
mar,thu,13.3,27,6.61
apr,sun,13.7,33,61.13
may,fri,18.0,40,38.48
jun,mon,14.3,79,1.94
jun,sat,24.5,50,70.32
jun,thu,26.4,35,10.08
jun,thu,22.7,40,3.19
jul,thu,27.2,28,1.76
jul,sun,26.1,45,7.36
jul,sun,18.2,82,2.21
jul,mon,22.6,57,278.53
